,cik_str,ticker,title
73,0001393818,BX,blackstone inc.
74,0000318154,AMGN,amgen inc
75,0001413329,PM,philip morris international inc.
76,0001089113,HSBC,hsbc holdings plc
77,0001144967,HDB,hdfc bank ltd
78,0000811809,BHP,bhp group ltd
79,0000895421,MS,morgan stanley
80,0001000275,RY,royal bank of canada
81,0000060667,LOW,lowes companies inc
82,0001035267,ISRG,intuitive surgical inc
83,0001378580,EADSY,airbus se/adr
84,0000310764,SYK,stryker corp
85,0001163165,COP,conocophillips
86,0000064040,SPGI,s&p global inc.
87,0001090727,UPS,united parcel service inc
88,0001973239,ARM,arm holdings plc /uk
89,0000773840,HON,honeywell international inc
90,0000886982,GS,goldman sachs group inc
91,0001668717,BUD,anheuser-busch inbev sa/nv
92,0000067088,MUFG,mitsubishi ufj financial group inc
93,0001045609,PLD,"prologis, inc."
94,0000217410,UL,unilever plc
95,0000707549,LRCX,lam research corp
96,0000732717,T,at&t inc.
97,0001364742,BLK,blackrock inc.
98,0000887028,RTNTF,rio tinto ltd
99,0000316709,SCHW,schwab charles corp
100,0001121404,SNY,sanofi
101,0001075531,BKNG,booking holdings inc.
102,0001443276,TOELY,tokyo electron ltd
103,0000101829,RTX,rtx corp
104,0001551182,ETN,eaton corp plc
105,0001156039,ELV,"elevance health, inc."
106,0000753308,NEE,nextera energy inc
107,0000080661,PGR,progressive corp/oh/
108,0001613103,MDT,medtronic plc
109,0000012927,BA,boeing co
110,0001161167,AIQUY,l air liquide sa /fi
111,0000109198,TJX,tjx companies inc /de/
112,0000014272,BMY,bristol myers squibb co
113,0000831001,C,citigroup inc
114,0000313838,SONY,sony group corp
115,0000875320,VRTX,vertex pharmaceuticals inc / ma
116,0000947263,TD,toronto dominion bank
117,0000872589,REGN,"regeneron pharmaceuticals, inc."
118,0000723125,MU,micron technology inc
119,0001559720,ABNB,"airbnb, inc."
120,0000936468,LMT,lockheed martin corp
121,0000829224,SBUX,starbucks corp
122,0000896159,CB,chubb ltd
123,0000315189,DE,deere & co
124,0000313807,BP,bp plc
125,0000863064,RIO,rio tinto plc
126,0000062709,MMC,"marsh & mclennan companies, inc."
127,0001610520,UBS,ubs group ag
128,0001739940,CI,cigna group
129,0000008670,ADP,automatic data processing inc
130,0001119639,PBR,petrobras - petroleo brasileiro sa
131,0000885725,BSX,boston scientific corp
132,0000006281,ADI,analog devices inc
133,0001594805,SHOP,shopify inc.
134,0000948401,CFRUY,compagnie financiere richemont ag /fi
135,0001103982,MDLZ,"mondelez international, inc."
136,0001053507,AMT,american tower corp /ma/
137,0000064803,CVS,cvs health corp
138,0000319201,KLAC,kla corp
139,0000882095,GILD,"gilead sciences, inc."
140,0001103838,IBN,icici bank ltd
141,0001327567,PANW,palo alto networks inc
142,0001274152,CSLLY,csl ltd
143,0000798354,FI,fiserv inc
144,0001442651,SHECY,"shin-etsu chemical co., ltd."
145,0001404912,KKR,kkr & co. inc.
146,0000883241,SNPS,synopsys inc
147,0001131399,GSK,gsk plc
148,0001596532,ANET,"arista networks, inc."
149,0000089800,SHW,sherwin williams co
150,0000748954,ATLKY,atlas copco ab
151,0001091587,ABBNY,abb ltd
152,0000860730,HCA,"hca healthcare, inc."
153,0001605484,STLA,stellantis n.v.
154,0001101239,EQIX,equinix inc
155,0000813672,CDNS,cadence design systems inc
156,0000823768,WM,waste management inc
157,0000016875,CP,canadian pacific kansas city ltd/cn
158,0000835403,DEO,diageo plc
159,0001555280,ZTS,zoetis inc.
160,0000016868,CNI,canadian national railway co
161,0000929869,RELX,relx plc
162,0001067491,INFY,infosys ltd
163,0001571996,DELL,dell technologies inc.
164,0001535527,CRWD,"crowdstrike holdings, inc."
165,0001571949,ICE,"intercontinental exchange, inc."
166,0001156375,CME,cme group inc.
167,0001648416,RACE,ferrari n.v.
168,0001099590,MELI,mercadolibre inc
169,0001022837,SMFG,"sumitomo mitsui financial group, inc."
170,0000049826,ITW,illinois tool works inc
171,0000027419,TGT,target corp
172,0001017413,CNQ,canadian natural resources ltd
173,0000895728,ENB,enbridge inc
174,0000764180,MO,"altria group, inc."
175,0000092122,SO,southern co
176,0001140625,EQNR,equinor asa
177,0000040533,GD,general dynamics corp
178,0000310732,BNPQY,bnp paribas
179,0001058090,CMG,chipotle mexican grill inc
180,0001359519,SVNDY,seven & i holdings co ltd
181,0000277948,CSX,csx corp
182,0000087347,SLB,schlumberger limited/nv
183,0000021665,CL,colgate palmolive co
184,0001326160,DUK,duke energy corp
185,0001048286,MAR,marriott international inc /md/
186,0001075124,TRI,thomson reuters corp /can/
187,0001327811,WDAY,"workday, inc."
188,0001059556,MCO,moodys corp /de/
189,0001110646,NTES,"netease, inc."
190,0000821189,EOG,eog resources inc
191,0000891478,SAN,"banco santander, s.a."
192,0000927653,MCK,mckesson corp
193,0000076334,PH,parker hannifin corp
194,0000010795,BDX,becton dickinson & co
195,0001133421,NOC,northrop grumman corp /de/
196,0000927971,BMO,bank of montreal /can/
197,0001303523,BTI,british american tobacco p.l.c.
198,0001132597,ITUB,itau unibanco holding s.a.
199,0000036104,USB,us bancorp \de\
200,0001001838,SCCO,southern copper corp/
201,0000820313,APH,amphenol corp /de/
202,0001510295,MPC,marathon petroleum corp
203,0001001085,BN,brookfield corp /on/
204,0001413447,NXPI,nxp semiconductors n.v.
205,0000842180,BBVA,"banco bilbao vizcaya argentaria, s.a."
206,0001260221,TDG,transdigm group inc
207,0001466258,TT,trane technologies plc
208,0000898173,ORLY,o reilly automotive inc
209,0001375365,SMCI,"super micro computer, inc."
210,0001534701,PSX,phillips 66
211,0001633917,PYPL,"paypal holdings, inc."
212,0000031462,ECL,ecolab inc.
213,0000723254,CTAS,cintas corp
214,0001048911,FDX,fedex corp
215,0000315293,AON,aon plc
216,0000032604,EMR,emerson electric co
217,0000865752,MNST,monster beverage corp
218,0001524684,GLNCY,glencore plc/adr
219,0001858681,APO,"apollo global management, inc."
220,0001835632,MRVL,"marvell technology, inc."
221,0001679788,COIN,"coinbase global, inc."
222,0001061219,EPD,enterprise products partners l.p.
223,0000009631,BNS,bank of nova scotia
224,0000075362,PCAR,paccar inc
225,0000713676,PNC,"pnc financial services group, inc."
226,0000882835,ROP,roper technologies inc
227,0001129137,AMX,america movil sab de cv/
228,0000849395,CRH,crh public ltd co
229,0001397187,LULU,lululemon athletica inc.
230,0000702165,NSC,norfolk southern corp
231,0001060391,RSG,"republic services, inc."
232,0001947559,ANZGY,anz group holdings limited/adr
233,0000715153,HMC,honda motor co ltd
234,0000831259,FCX,freeport-mcmoran inc
235,0001038357,PXD,pioneer natural resources co
236,0000068505,MSI,"motorola solutions, inc."
237,0001063761,SPG,simon property group inc /de/
238,0001650372,TEAM,atlassian corp
239,0000769397,ADSK,"autodesk, inc."
240,0001545460,OLCLY,"oriental land co., ltd./adr"
241,0000354190,AJG,arthur j. gallagher & co.
242,0000917851,VALE,vale s.a.
243,0001099800,EW,edwards lifesciences corp
244,0000002969,APD,"air products & chemicals, inc."
245,0001262039,FTNT,"fortinet, inc."
246,0001001250,EL,estee lauder companies inc
247,0001446598,DNZOY,denso corp
248,0000066740,MMM,3m co
249,0001321655,PLTR,palantir technologies inc.
250,0001691493,NU,nu holdings ltd.
251,0000797468,OXY,occidental petroleum corp /de/
252,0000900075,CPRT,copart inc
253,0000866787,AZO,autozone inc
254,0001640147,SNOW,snowflake inc.
255,0000927628,COF,capital one financial corp
256,0000766704,WELL,welltower inc.
257,0001868275,CEG,constellation energy corp
258,0001093557,DXCM,dexcom inc
259,0001585689,HLT,hilton worldwide holdings inc.
260,0001792789,DASH,"doordash, inc."
261,0001783180,CARR,carrier global corp
262,0001222333,GLD,spdr gold trust
263,0001099219,MET,metlife inc
264,0000005272,AIG,"american international group, inc."
265,0000882184,DHI,horton d r inc /de/
266,0001002242,E,eni spa
267,0001639920,SPOT,spotify technology s.a.
268,0001393311,PSA,public storage
269,0001039765,ING,ing groep nv
270,0001335730,MFG,mizuho financial group inc
271,0001276187,ET,energy transfer lp
272,0000086312,TRV,"travelers companies, inc."
273,0000895564,BAESY,bae systems plc /fi/
274,0001035002,VLO,valero energy corp/tx
275,0001512673,SQ,"block, inc."
276,0001004315,NGG,national grid plc
277,0000827054,MCHP,microchip technology inc
278,0000745732,ROST,"ross stores, inc."
279,0000092230,TFC,truist financial corp
280,0000030554,CTA-PA,"eidp, inc."
281,0000037996,F,ford motor co
282,0001051470,CCI,crown castle inc.
283,0000277135,GWW,"w.w. grainger, inc."
284,0000004977,AFL,aflac inc
285,0000878927,ODFL,"old dominion freight line, inc."
286,0001140859,COR,"cencora, inc."
287,0000016918,STZ,"constellation brands, inc."
288,0001478242,IQV,iqvia holdings inc.
289,0001297996,DLR,"digital realty trust, inc."
290,0001045520,CM,canadian imperial bank of commerce /can/
291,0000920760,LEN,lennar corp /new/
292,0001395064,TAK,takeda pharmaceutical co ltd
293,0000874716,IDXX,idexx laboratories inc /de
294,0000726728,O,realty income corp
295,0001381197,IBKR,"interactive brokers group, inc."
296,0001067701,URI,"united rentals, inc."
297,0001467858,GM,general motors co
298,0001039684,OKE,oneok inc /new/
299,0000004447,HES,hess corp
300,0001032208,SRE,sempra
301,0000311337,SU,suncor energy inc
302,0001408198,MSCI,msci inc.
303,0000107263,WMB,"williams companies, inc."
304,0000073309,NUE,nucor corp
305,0000723531,PAYX,paychex inc
306,0001588489,GBTC,grayscale bitcoin trust (btc)
307,0000004904,AEP,american electric power co inc
308,0000932787,STM,stmicroelectronics n.v.
309,0001318220,WCN,"waste connections, inc."
310,0001385157,TEL,te connectivity ltd.
311,0001167379,ALC,alcon inc
312,0001090872,A,"agilent technologies, inc."
313,0001549802,JD,"jd.com, inc."
314,0001086888,MFC,manulife financial corp
315,0000815556,FAST,fastenal co
316,0001461748,PPERY,pt bank mandiri (persero) tbk / adr
317,0001471055,BSBR,banco santander (brasil) s.a.
318,0000055785,KMB,kimberly clark corp
319,0001004980,PCG,pg&e corp
320,0001091667,CHTR,"charter communications, inc. /mo/"
321,0001279967,CRARY,credit agricole s a
322,0001682852,MRNA,"moderna, inc."
323,0001232384,TRP,tc energy corp
324,0001637459,KHC,kraft heinz co
325,0001446519,DKILY,daikin industries ltd
326,0000833444,JCI,johnson controls international plc
327,0000899051,ALL,allstate corp
328,0001037868,AME,ametek inc/
329,0001932393,GEHC,ge healthcare technologies inc.
330,0001176948,ARES,ares management corp
331,0000049071,HUM,humana inc
332,0001390777,BK,bank of new york mellon corp
333,0000820027,AMP,ameriprise financial inc
334,0001832433,FERG,ferguson plc
335,0001552000,MPLX,mplx lp
336,0001565025,ABEV,ambev s.a.
337,0001071739,CNC,centene corp
338,0001751788,DOW,dow inc.
339,0000202058,LHX,"l3harris technologies, inc. /de/"
340,0001561550,DDOG,"datadog, inc."
341,0001136893,FIS,"fidelity national information services, inc."
342,0001791706,LI,li auto inc.
343,0001137774,PRU,prudential financial inc
344,0000047111,HSY,hershey co
345,0001160106,LYG,lloyds banking group plc
346,0001900304,HLN,haleon plc
347,0000096021,SYY,sysco corp
348,0000056873,KR,kroger co
349,0001506307,KMI,"kinder morgan, inc."
350,0001300514,LVS,las vegas sands corp
351,0001041061,YUM,yum brands inc
352,0001418135,KDP,keurig dr pepper inc.
353,0001278680,IAU,ishares gold trust
354,0001781335,OTIS,otis worldwide corp
355,0001671933,TTD,"trade desk, inc."
356,0000715957,D,"dominion energy, inc"
357,0001164727,NEM,newmont corp /de/
358,0001944048,KVUE,kenvue inc.
359,0000861967,WTKWY,wolters kluwer n v /fi
360,0001755672,CTVA,"corteva, inc."
361,0001058290,CTSH,cognizant technology solutions corp
362,0000026172,CMI,cummins inc
363,0001012037,CODYY,compagnie de saint gobain
364,0001671750,DSCSY,disco corporation/adr
365,0001393052,VEEV,veeva systems inc
366,0000040704,GIS,general mills inc
367,0000916076,MLM,martin marietta materials inc
368,0001109357,EXC,exelon corp
369,0000749251,IT,gartner inc
370,0001329099,BIDU,"baidu, inc."
371,0001450468,MRAAY,"murata manufacturing co., ltd./adr"
372,0000003570,LNG,"cheniere energy, inc."
373,0001618756,QSR,restaurant brands international inc.
374,0001699150,IR,ingersoll rand inc.
375,0001547873,PTCAY,pt chandra asri petrochemical tbk/adr
376,0000712515,EA,electronic arts inc.
377,0000844551,WDS,woodside energy group ltd
378,0001280452,MPWR,monolithic power systems inc
379,0001057352,CSGP,"costar group, inc."
380,0001396009,VMC,vulcan materials co
381,0000049938,IMO,imperial oil ltd
382,0001050915,PWR,"quanta services, inc."
383,0000029534,DG,dollar general corp
384,0001158838,ATEYY,advantest corp
385,0001834584,CPNG,"coupang, inc."
386,0000312069,BCS,barclays plc
387,0001097864,ON,on semiconductor corp
388,0001120193,NDAQ,"nasdaq, inc."
389,0001442145,VRSK,"verisk analytics, inc."
390,0000947484,ACGL,arch capital group ltd.
391,0001123360,GPN,global payments inc
392,0001433913,BDORY,banco do brasil s.a.
393,0001402057,CDW,cdw corp
394,0001475260,CVE,cenovus energy inc.
395,0000079879,PPG,ppg industries inc
396,0000884887,RCL,royal caribbean cruises ltd
397,0000033185,EFX,equifax inc
398,0000875045,BIIB,biogen inc.
399,0001650107,CCEP,coca-cola europacific partners plc
400,0000718940,BCE,bce inc
401,0000814547,FICO,fair isaac corp
402,0001703399,SE,sea ltd
403,0001539838,FANG,"diamondback energy, inc."
404,0001489393,LYB,lyondellbasell industries n.v.
405,0000045012,HAL,halliburton co
406,0001123799,WIT,wipro ltd
407,0000935703,DLTR,"dollar tree, inc."
408,0001477333,NET,"cloudflare, inc."
409,0001289490,EXR,extra space storage inc.
410,0001024478,ROK,"rockwell automation, inc"
411,0001097362,SLF,sun life financial inc
412,0000788784,PEG,public service enterprise group inc
413,0001038683,RYAAY,ryanair holdings plc
414,0001041130,DIA,spdr dow jones industrial average etf trust
415,0001404655,HUBS,hubspot inc
416,0001701605,BKR,baker hughes co
417,0001393612,DFS,discover financial services
418,0001047862,ED,consolidated edison inc
419,0001524472,XYL,xylem inc.
420,0001705696,VICI,vici properties inc.
421,0000007084,ADM,archer-daniels-midland co
422,0001038143,ORAN,orange
423,0001160330,BBD,bank bradesco
424,0001659166,FTV,fortive corp
425,0001713683,ZS,"zscaler, inc."
426,0001132924,CHT,chunghwa telecom co ltd
427,0001666700,DD,"dupont de nemours, inc."
428,0000936958,MDY,spdr s&p midcap 400 etf trust
429,0001709048,GFS,globalfoundries inc.
430,0000047217,HPQ,hp inc
431,0001090012,DVN,devon energy corp/de
432,0000850918,GWLIF,great-west lifeco inc.
433,0000874766,HIG,"hartford financial services group, inc."
434,0001013462,ANSS,ansys inc
435,0001947542,TLGPY,telstra group ltd
436,0001269238,TCOM,trip.com group ltd
437,0001159508,DB,deutsche bank aktiengesellschaft
438,0000844150,NWG,natwest group plc
439,0001116578,PUK,prudential plc
440,0000072903,XEL,xcel energy inc
441,0000943819,RMD,resmed inc
442,0001138118,CBRE,"cbre group, inc."
443,0001121788,GRMN,garmin ltd
444,0000721371,CAH,cardinal health inc
445,0001446596,FANUY,fanuc ltd
446,0000024741,GLW,corning inc /ny
447,0001140536,WTW,willis towers watson plc
448,0001037646,MTD,mettler toledo international inc/
449,0000105770,WST,west pharmaceutical services inc
450,0001060955,ICLR,icon plc
451,0000756894,GOLD,barrick gold corp
452,0001061574,GIB,cgi inc
453,0000002809,AEM,agnico eagle mines ltd
454,0001674101,VRT,vertiv holdings co
455,0000027904,DAL,"delta air lines, inc."
456,0000004281,HWM,howmet aerospace inc.
457,0000916365,TSCO,tractor supply co /de/
458,0001837240,SYM,symbotic inc.
459,0001403568,ULTA,"ulta beauty, inc."
460,0001441816,MDB,"mongodb, inc."
461,0001451279,SAUHY,straumann holding ag / adr
462,0001050952,PUBGY,publicis groupe sa
463,0000827052,EIX,edison international
464,0001601046,KEYS,"keysight technologies, inc."
465,0001353283,SPLK,splunk inc
466,0001065088,EBAY,ebay inc
467,0001113169,TROW,price t rowe group inc
468,0001136869,ZBH,"zimmer biomet holdings, inc."
469,0001725964,NTR,nutrien ltd.
470,0000915912,AVB,avalonbay communities inc
471,0000915191,FRFHF,fairfax financial holdings ltd/ can
472,0001050446,MSTR,microstrategy inc
473,0000014693,BF-B,brown forman corp
474,0000889132,PKX,posco holdings inc.
475,0001021020,OEZVY,osterreichische elektrizitatswirtschafts /fi
476,0000783325,WEC,"wec energy group, inc."
477,0001334687,CJPRY,central japan railway co
478,0000313927,CHD,church & dwight co inc /de/
479,0001315098,RBLX,roblox corp
480,0000943452,WAB,westinghouse air brake technologies corp
481,0000868675,TU,telus corp
482,0000035527,FITB,fifth third bancorp
483,0000106535,WY,weyerhaeuser co
484,0001070304,IX,orix corp
485,0001823945,OWL,blue owl capital inc.
486,0000720005,RJF,raymond james financial inc
487,0000906163,NVR,nvr inc
488,0001001807,TLK,perusahaan perseroan persero pt telekomunikasi indonesia tbk
489,0000946581,TTWO,take two interactive software inc
490,0000079282,BRO,"brown & brown, inc."
491,0000029905,DOV,dover corp
492,0001805284,RKT,"rocket companies, inc."
493,0001122411,ASX,"ase technology holding co., ltd."
494,0000839923,VOD,vodafone group public ltd co
495,0001316835,BLDR,"builders firstsource, inc."
496,0000814052,TEF,telefonica s a
497,0001383312,BR,"broadridge financial solutions, inc."
498,0001645590,HPE,hewlett packard enterprise co
499,0000822416,PHM,pultegroup inc/mi/
500,0000036270,MTB,m&t bank corp
501,0001506293,PINS,"pinterest, inc."
502,0000906107,EQR,equity residential
503,0001034054,SBAC,sba communications corp
504,0001179929,MOH,"molina healthcare, inc."
505,0001020569,IRM,iron mountain inc
506,0001335258,LYV,"live nation entertainment, inc."
507,0001383650,CQP,"cheniere energy partners, l.p."
508,0001389170,TRGP,targa resources corp.
509,0001697862,ARGX,argenx se
510,0000910521,DECK,deckers outdoor corp
511,0001069183,AXON,"axon enterprise, inc."
512,0001410636,AWK,"american water works company, inc."
513,0000733099,RCI,rogers communications inc
514,0001097149,ALGN,align technology inc
515,0001757898,STE,steris plc
516,0000936340,DTE,dte energy co
517,0001776985,BNTX,biontech se
518,0001758730,TW,tradeweb markets inc.
519,0000046619,HEI,heico corp
520,0001910139,MBLY,mobileye global inc.
521,0001446705,NTDTY,ntt data corp
522,0001093028,EJPRY,east japan railway co /fi
523,0000857005,PTC,ptc inc.
524,0000798941,FCNCA,first citizens bancshares inc /de/
525,0000063271,PCRFY,panasonic holdings corp
526,0000084839,ROL,rollins inc
527,0001190723,TS,tenaris sa
528,0001243429,MT,arcelormittal
529,0001035443,ARE,"alexandria real estate equities, inc."
530,0000011544,WRB,berkley w r corp
531,0001521332,APTV,aptiv plc
532,0000093751,STT,state street corp
533,0001967680,VLTO,veralto corp
534,0000010456,BAX,baxter international inc
535,0001031296,FE,firstenergy corp
536,0001456346,FNV,franco nevada corp
537,0000065984,ETR,entergy corp /de/
538,0000886986,TECK,teck resources ltd
539,0001444406,EC,ecopetrol s.a.
540,0001585521,ZM,"zoom video communications, inc."
541,0001437107,WBD,"warner bros. discovery, inc."
542,0001687229,INVH,invitation homes inc.
543,0000040987,GPC,genuine parts co
544,0001110803,ILMN,"illumina, inc."
545,0000922621,ERIE,erie indemnity co
546,0001101302,ENTG,entegris inc
547,0001033767,UMC,united microelectronics corp
548,0000815097,CCL,carnival corp
549,0001002047,NTAP,"netapp, inc."
550,0000048898,HUBB,hubbell inc
551,0001175454,FLT,fleetcor technologies inc
552,0001445930,KB,kb financial group inc.
553,0001642896,IOT,samsara inc.
554,0001000697,WAT,waters corp /de/
555,0000072741,ES,eversource energy
556,0000728535,JBHT,hunt j b transport services inc
557,0000910631,KOF,coca cola femsa sab de cv
558,0000051253,IFF,international flavors & fragrances inc
559,0001341766,CELH,"celsius holdings, inc."
560,0001022671,STLD,steel dynamics inc
561,0001692819,VST,vistra corp.
562,0000940944,DRI,darden restaurants inc
563,0000009389,BALL,ball corp
564,0000106040,WDC,western digital corp
565,0001439124,EBR,brazilian electric power co
566,0001434265,GMAB,genmab a/s
567,0001669414,SMPNY,"sompo japan nipponkoa holdings, inc./adr"
568,0000711404,COO,"cooper companies, inc."
569,0001323404,WPM,wheaton precious metals corp.
570,0001094285,TDY,teledyne technologies inc
571,0000924613,NOK,nokia corp
572,0001751008,APP,applovin corp
573,0000922224,PPL,ppl corp
574,0000858470,CTRA,coterra energy inc.
575,0001446437,YAHOY,yahoo! japan corp
576,0000100493,TSN,"tyson foods, inc."
577,0001397911,LPLA,lpl financial holdings inc.
578,0001096343,MKL,markel group inc.
579,0001546066,PBA,pembina pipeline corp
580,0000049196,HBAN,huntington bancshares inc /md/
581,0001564408,SNAP,snap inc
582,0001666175,FTS,fortis inc.
583,0001883685,DKNG,draftkings inc.
584,0000021076,CLX,clorox co /de/
585,0001014473,VRSN,verisign inc/ca
586,0001374310,CBOE,"cboe global markets, inc."
587,0000313216,PHG,koninklijke philips nv
588,0001002910,AEE,ameren corp
589,0001015922,CHKP,check point software technologies ltd
590,0001137789,STX,seagate technology holdings plc
591,0000717826,ERIC,ericsson lm telephone co
592,0000898293,JBL,jabil inc
593,0001400691,HDELY,heidelbergcement ag
594,0001443646,BAH,booz allen hamilton holding corp
595,0001126328,PFG,principal financial group inc
596,0001764757,DIDIY,didi global inc.
597,0000029989,OMC,omnicom group inc.
598,0001324424,EXPE,"expedia group, inc."
599,0000048465,HRL,hormel foods corp /de/
600,0000052988,J,jacobs solutions inc.
601,0001178670,ALNY,"alnylam pharmaceuticals, inc."
602,0000063754,MKC,mccormick & co inc
603,0001125259,CUK,carnival plc
604,0000020286,CINF,cincinnati financial corp
605,0001069347,SGSOY,sgs societe generale de surveillance holding sa /fi
606,0001618921,WBA,"walgreens boots alliance, inc."
607,0000055067,K,kellanova
608,0000861884,RS,"reliance, inc."
609,0001744676,TME,tencent music entertainment group
610,0001163653,NMR,nomura holdings inc
611,0000920148,LH,laboratory corp of america holdings
612,0000832101,IEX,idex corp /de/
613,0000860731,TYL,tyler technologies inc
614,0001009001,CCJ,cameco corp
615,0001013237,FDS,factset research systems inc
616,0001802768,RPRX,royalty pharma plc
617,0001262823,WLK,westlake corp
618,0001809587,BEKE,ke holdings inc.
619,0001660134,OKTA,"okta, inc."
620,0001263043,SHG,shinhan financial group co ltd
621,0000859737,HOLX,hologic inc
622,0001281761,RF,regions financial corp
623,0000858446,IHG,intercontinental hotels group plc /new/
624,0001130310,CNP,centerpoint energy inc
625,0001352010,EPAM,"epam systems, inc."
626,0000217346,TXT,textron inc
627,0000731802,ATO,atmos energy corp
628,0001651308,BGNE,"beigene, ltd."
629,0001066119,VIV,telefonica brasil s.a.
630,0001319161,WMG,warner music group corp.
631,0001601712,SYF,synchrony financial
632,0001159152,JHX,james hardie industries plc
633,0000811156,CMS,cms energy corp
634,0000740260,VTR,"ventas, inc."
635,0000746515,EXPD,expeditors international of washington inc
636,0000004127,SWKS,"skyworks solutions, inc."
637,0000008818,AVY,avery dennison corp
638,0000912593,SUI,sun communities inc
639,0001336920,LDOS,"leidos holdings, inc."
640,0000790051,CSL,carlisle companies inc
641,0000092380,LUV,southwest airlines co
642,0001677250,ZTO,zto express (cayman) inc.
643,0001722482,AVTR,"avantor, inc."
644,0001673358,YUMC,"yum china holdings, inc."
645,0001274494,FSLR,"first solar, inc."
646,0001306830,CE,celanese corp
647,0000060086,L,loews corp
648,0001527166,CG,carlyle group inc.
649,0000764478,BBY,best buy co inc
650,0001378789,AER,aercap holdings n.v.
651,0001609711,GDDY,godaddy inc.
652,0001069202,LII,lennox international inc
653,0000896076,MGDDY,michelin compagnie generale des etablissements michelin /fi
654,0001039610,EDPFY,edp energias de portugal sa
655,0000075677,PKG,packaging corp of america
656,0000062996,MAS,masco corp /de/
657,0001086222,AKAM,akamai technologies inc
658,0001937926,BAM,brookfield asset management ltd.
659,0001095073,EG,"everest group, ltd."
660,0000073124,NTRS,northern trust corp
661,0000097210,TER,"teradyne, inc"
662,0001880661,TPG,tpg inc.
663,0001463101,ENPH,"enphase energy, inc."
664,0001474432,PSTG,"pure storage, inc."
665,0000930157,RTO,rentokil initial plc /fi
666,0001048477,BMRN,biomarin pharmaceutical inc
667,0001468174,H,hyatt hotels corp
668,0001324404,CF,"cf industries holdings, inc."
669,0000920522,ESS,"essex property trust, inc."
670,0001056696,MANH,manhattan associates inc
671,0001449566,WLMIY,wilmar international ltd
672,0001177702,SAIA,saia inc
673,0000105016,WSO,watsco inc
674,0000042888,GGG,graco inc
675,0001286681,DPZ,dominos pizza inc
676,0000909327,SUZ,suzano s.a.
677,0001618732,NTNX,"nutanix, inc."
678,0001552033,TRU,transunion
679,0000945841,POOL,pool corp
680,0000759944,CFG,citizens financial group inc/ri
681,0000864749,TRMB,trimble inc.
682,0000091440,SNA,snap-on inc
683,0000719955,WSM,williams sonoma inc
684,0001402436,SSNC,ss&c technologies holdings inc
685,0000908937,SIRI,sirius xm holdings inc.
686,0001889539,CRBG,"corebridge financial, inc."
